Game Number,Winner,No. of Wins,Game Time,GOAP Highest Value,GOAP Highest Attack Value,GOAP Highest Defence Value,GOAP Highest Value Time Stamp,GOAP Total Builders,GOAP Total Soldiers,GOAP Total Archers,GOAP Total Walls,MCTS Highest Value,MCTS Highest Attack Value,MCTS Highest Defence Value,MCTS Highest Value Time Stamp,MCTS Total Builders,MCTS Total Soldiers,MCTS Total Archers,MCTS Total Walls,Game Over Time Stamp
260,MCTS,110,47.859001,1118.000000,32.000000,370.000000,24.186001,6,10,3,0,3212.000000,48.000000,445.000000,47.811001,8,7,4,0,24/4/2017 - 15:23:55
261,MCTS,111,81.889000,978.000000,30.000000,370.000000,72.334000,12,12,9,0,5009.000000,62.000000,475.000000,81.050003,6,14,8,0,24/4/2017 - 15:25:19
262,GOAP,151,51.639000,1749.000000,44.000000,400.000000,51.558998,7,10,4,0,2914.000000,42.000000,445.000000,50.862000,6,5,8,0,24/4/2017 - 15:26:12
263,GOAP,152,48.903999,887.000000,54.000000,370.000000,15.754000,6,10,4,0,3076.000000,52.000000,480.000000,43.361000,6,5,3,0,24/4/2017 - 15:27:3
264,MCTS,112,57.903999,2428.000000,40.000000,445.000000,39.327999,6,11,5,0,5346.000000,66.000000,483.000000,57.872002,6,10,6,0,24/4/2017 - 15:28:2
265,GOAP,153,37.776001,2986.000000,50.000000,370.000000,37.759998,6,10,0,0,2446.000000,32.000000,440.000000,37.223000,6,5,4,0,24/4/2017 - 15:28:41
266,MCTS,113,81.293999,2228.000000,30.000000,390.000000,53.751999,8,11,11,0,6706.000000,62.000000,489.000000,81.168999,6,13,10,0,24/4/2017 - 15:30:5
267,MCTS,114,29.121000,798.000000,20.000000,370.000000,15.375000,6,6,1,0,2584.000000,62.000000,497.000000,29.073999,6,5,0,0,24/4/2017 - 15:30:35
268,GOAP,154,34.002998,1061.000000,40.000000,370.000000,32.310001,6,9,0,0,1892.000000,42.000000,440.000000,27.305000,6,5,1,0,24/4/2017 - 15:31:10
269,GOAP,155,38.837002,991.000000,44.000000,370.000000,35.835999,6,9,1,0,2511.000000,42.000000,455.000000,30.664000,6,5,2,0,24/4/2017 - 15:31:50
270,MCTS,115,52.576000,2045.000000,38.000000,425.000000,39.338001,6,6,7,0,1903.000000,44.000000,345.000000,52.511002,6,11,4,0,24/4/2017 - 15:32:43
271,GOAP,156,43.449001,1385.000000,42.000000,370.000000,26.204000,6,8,4,0,2065.000000,42.000000,465.000000,37.754002,6,5,5,0,24/4/2017 - 15:33:28
272,GOAP,157,32.804001,2318.000000,50.000000,460.000000,32.105000,6,5,2,0,2020.000000,32.000000,430.000000,31.913000,6,6,2,0,24/4/2017 - 15:34:2
